Archivo: ../pos/10000_8.txt, Es: Positivo, Negative: 8, Positive: 1, Very negative: 0, Very positive: 0, Neutral: 4, Suma: -7
Archivo: ../pos/10557_9.txt, Es: Positivo, Negative: 3, Positive: 3, Very negative: 0, Very positive: 0, Neutral: 0, Suma: 0
Archivo: ../pos/10558_10.txt, Es: Positivo, Negative: 3, Positive: 2, Very negative: 0, Very positive: 0, Neutral: 1, Suma: -1
Archivo: ../pos/10559_8.txt, Es: Positivo, Negative: 7, Positive: 5, Very negative: 0, Very positive: 1, Neutral: 0, Suma: 0
Archivo: ../pos/1055_10.txt, Es: Positivo, Negative: 2, Positive: 1, Very negative: 0, Very positive: 0, Neutral: 1, Suma: -1
Archivo: ../pos/10560_9.txt, Es: Positivo, Negative: 11, Positive: 5, Very negative: 0, Very positive: 0, Neutral: 2, Suma: -6
Archivo: ../pos/10561_8.txt, Es: Positivo, Negative: 15, Positive: 3, Very negative: 1, Very positive: 0, Neutral: 6, Suma: -14
Archivo: ../pos/10562_9.txt, Es: Positivo, Negative: 0, Positive: 3, Very negative: 0, Very positive: 0, Neutral: 1, Suma: 3
Archivo: ../pos/10563_7.txt, Es: Positivo, Negative: 7, Positive: 6, Very negative: 0, Very positive: 3, Neutral: 3, Suma: 5
Archivo: ../pos/10564_10.txt, Es: Positivo, Negative: 0, Positive: 1, Very negative: 0, Very positive: 0, Neutral: 3, Suma: 1
Archivo: ../pos/10565_9.txt, Es: Positivo, Negative: 8, Positive: 3, Very negative: 0, Very positive: 1, Neutral: 0, Suma: -3
Archivo: ../pos/10566_8.txt, Es: Positivo, Negative: 3, Positive: 2, Very negative: 0, Very positive: 1, Neutral: 1, Suma: 1
Archivo: ../pos/10567_9.txt, Es: Positivo, Negative: 0, Positive: 3, Very negative: 0, Very positive: 1, Neutral: 1, Suma: 5
Archivo: ../pos/10568_10.txt, Es: Positivo, Negative: 2, Positive: 1, Very negative: 1, Very positive: 2, Neutral: 2, Suma: 1
Archivo: ../pos/10569_10.txt, Es: Positivo, Negative: 1, Positive: 2, Very negative: 0, Very positive: 2, Neutral: 1, Suma: 5
Archivo: ../pos/1056_10.txt, Es: Positivo, Negative: 4, Positive: 1, Very negative: 0, Very positive: 1, Neutral: 4, Suma: -1
Archivo: ../pos/10570_8.txt, Es: Positivo, Negative: 19, Positive: 10, Very negative: 2, Very positive: 1, Neutral: 2, Suma: -11
Archivo: ../pos/10571_8.txt, Es: Positivo, Negative: 10, Positive: 7, Very negative: 0, Very positive: 1, Neutral: 2, Suma: -1
Archivo: ../pos/10572_8.txt, Es: Positivo, Negative: 10, Positive: 4, Very negative: 0, Very positive: 0, Neutral: 2, Suma: -6
Archivo: ../pos/10573_10.txt, Es: Positivo, Negative: 2, Positive: 3, Very negative: 0, Very positive: 3, Neutral: 1, Suma: 7
Archivo: ../pos/10574_10.txt, Es: Positivo, Negative: 2, Positive: 3, Very negative: 0, Very positive: 1, Neutral: 1, Suma: 3
Archivo: ../pos/10575_9.txt, Es: Positivo, Negative: 4, Positive: 2, Very negative: 0, Very positive: 5, Neutral: 3, Suma: 8
Archivo: ../pos/10576_7.txt, Es: Positivo, Negative: 15, Positive: 11, Very negative: 0, Very positive: 1, Neutral: 3, Suma: -2
Archivo: ../pos/10577_10.txt, Es: Positivo, Negative: 1, Positive: 3, Very negative: 0, Very positive: 1, Neutral: 2, Suma: 4
Archivo: ../pos/10578_7.txt, Es: Positivo, Negative: 3, Positive: 5, Very negative: 0, Very positive: 1, Neutral: 3, Suma: 4
Archivo: ../pos/10579_10.txt, Es: Positivo, Negative: 11, Positive: 6, Very negative: 0, Very positive: 1, Neutral: 2, Suma: -3
Archivo: ../pos/1057_9.txt, Es: Positivo, Negative: 1, Positive: 1, Very negative: 0, Very positive: 0, Neutral: 2, Suma: 0
Archivo: ../pos/10580_8.txt, Es: Positivo, Negative: 3, Positive: 1, Very negative: 0, Very positive: 0, Neutral: 1, Suma: -2
Archivo: ../pos/10581_10.txt, Es: Positivo, Negative: 12, Positive: 7, Very negative: 1, Very positive: 1, Neutral: 6, Suma: -5
Archivo: ../pos/10582_10.txt, Es: Positivo, Negative: 3, Positive: 9, Very negative: 0, Very positive: 2, Neutral: 3, Suma: 10
Archivo: ../pos/10583_10.txt, Es: Positivo, Negative: 11, Positive: 8, Very negative: 0, Very positive: 2, Neutral: 3, Suma: 1
Archivo: ../pos/10584_10.txt, Es: Positivo, Negative: 11, Positive: 4, Very negative: 0, Very positive: 1, Neutral: 5, Suma: -5
Archivo: ../pos/10585_9.txt, Es: Positivo, Negative: 4, Positive: 8, Very negative: 0, Very positive: 3, Neutral: 1, Suma: 10
Archivo: ../pos/10586_10.txt, Es: Positivo, Negative: 7, Positive: 5, Very negative: 0, Very positive: 0, Neutral: 2, Suma: -2
Archivo: ../pos/10587_8.txt, Es: Positivo, Negative: 3, Positive: 1, Very negative: 0, Very positive: 1, Neutral: 1, Suma: 0
Archivo: ../pos/10588_10.txt, Es: Positivo, Negative: 7, Positive: 6, Very negative: 0, Very positive: 0, Neutral: 3, Suma: -1
Archivo: ../pos/10589_10.txt, Es: Positivo, Negative: 2, Positive: 3, Very negative: 0, Very positive: 0, Neutral: 0, Suma: 1
Archivo: ../pos/1058_10.txt, Es: Positivo, Negative: 0, Positive: 3, Very negative: 0, Very positive: 0, Neutral: 0, Suma: 3
Archivo: ../pos/10590_8.txt, Es: Positivo, Negative: 3, Positive: 0, Very negative: 0, Very positive: 0, Neutral: 2, Suma: -3
Archivo: ../pos/10591_10.txt, Es: Positivo, Negative: 6, Positive: 4, Very negative: 0, Very positive: 0, Neutral: 1, Suma: -2
Archivo: ../pos/10592_8.txt, Es: Positivo, Negative: 3, Positive: 4, Very negative: 0, Very positive: 0, Neutral: 0, Suma: 1
Archivo: ../pos/10593_8.txt, Es: Positivo, Negative: 2, Positive: 2, Very negative: 0, Very positive: 1, Neutral: 0, Suma: 2
Archivo: ../pos/10594_8.txt, Es: Positivo, Negative: 8, Positive: 0, Very negative: 2, Very positive: 2, Neutral: 1, Suma: -8
Archivo: ../pos/10595_10.txt, Es: Positivo, Negative: 23, Positive: 4, Very negative: 0, Very positive: 1, Neutral: 2, Suma: -17
Archivo: ../pos/10596_8.txt, Es: Positivo, Negative: 5, Positive: 0, Very negative: 0, Very positive: 0, Neutral: 0, Suma: -5
Archivo: ../pos/10597_9.txt, Es: Positivo, Negative: 5, Positive: 1, Very negative: 0, Very positive: 1, Neutral: 2, Suma: -2
Archivo: ../pos/10598_8.txt, Es: Positivo, Negative: 0, Positive: 1, Very negative: 0, Very positive: 1, Neutral: 3, Suma: 3
Archivo: ../pos/10599_8.txt, Es: Positivo, Negative: 4, Positive: 7, Very negative: 0, Very positive: 2, Neutral: 0, Suma: 7
Archivo: ../pos/1059_10.txt, Es: Positivo, Negative: 1, Positive: 3, Very negative: 0, Very positive: 1, Neutral: 1, Suma: 4
Archivo: ../pos/105_7.txt, Es: Positivo, Negative: 9, Positive: 10, Very negative: 0, Very positive: 0, Neutral: 11, Suma: 1
Archivo: ../pos/10600_9.txt, Es: Positivo, Negative: 3, Positive: 2, Very negative: 0, Very positive: 1, Neutral: 0, Suma: 1
Archivo: ../pos/10601_10.txt, Es: Positivo, Negative: 4, Positive: 3, Very negative: 0, Very positive: 0, Neutral: 1, Suma: -1
Archivo: ../pos/10602_10.txt, Es: Positivo, Negative: 1, Positive: 5, Very negative: 0, Very positive: 1, Neutral: 1, Suma: 6
Archivo: ../pos/10603_10.txt, Es: Positivo, Negative: 8, Positive: 4, Very negative: 1, Very positive: 0, Neutral: 5, Suma: -6
Archivo: ../pos/10604_7.txt, Es: Positivo, Negative: 1, Positive: 0, Very negative: 0, Very positive: 0, Neutral: 0, Suma: -1
Archivo: ../pos/10605_7.txt, Es: Positivo, Negative: 1, Positive: 1, Very negative: 0, Very positive: 1, Neutral: 0, Suma: 2
Archivo: ../pos/10606_10.txt, Es: Positivo, Negative: 3, Positive: 3, Very negative: 0, Very positive: 2, Neutral: 1, Suma: 4
Archivo: ../pos/10607_10.txt, Es: Positivo, Negative: 1, Positive: 5, Very negative: 0, Very positive: 0, Neutral: 1, Suma: 4
Archivo: ../pos/10608_10.txt, Es: Positivo, Negative: 0, Positive: 2, Very negative: 0, Very positive: 3, Neutral: 1, Suma: 8
Archivo: ../pos/10609_10.txt, Es: Positivo, Negative: 2, Positive: 5, Very negative: 0, Very positive: 3, Neutral: 0, Suma: 9
Archivo: ../pos/1060_10.txt, Es: Positivo, Negative: 1, Positive: 1, Very negative: 0, Very positive: 1, Neutral: 1, Suma: 2
Archivo: ../pos/10610_8.txt, Es: Positivo, Negative: 3, Positive: 0, Very negative: 0, Very positive: 0, Neutral: 3, Suma: -3
Archivo: ../pos/10611_8.txt, Es: Positivo, Negative: 3, Positive: 1, Very negative: 0, Very positive: 1, Neutral: 0, Suma: 0
Archivo: ../pos/10612_7.txt, Es: Positivo, Negative: 7, Positive: 5, Very negative: 0, Very positive: 2, Neutral: 1, Suma: 2
Archivo: ../pos/10613_8.txt, Es: Positivo, Negative: 8, Positive: 3, Very negative: 0, Very positive: 1, Neutral: 1, Suma: -3
Archivo: ../pos/10614_7.txt, Es: Positivo, Negative: 4, Positive: 1, Very negative: 0, Very positive: 0, Neutral: 1, Suma: -3
Archivo: ../pos/10615_8.txt, Es: Positivo, Negative: 0, Positive: 5, Very negative: 0, Very positive: 0, Neutral: 0, Suma: 5
Archivo: ../pos/10616_7.txt, Es: Positivo, Negative: 8, Positive: 6, Very negative: 0, Very positive: 0, Neutral: 1, Suma: -2
Archivo: ../pos/10617_8.txt, Es: Positivo, Negative: 7, Positive: 3, Very negative: 0, Very positive: 0, Neutral: 2, Suma: -4
Archivo: ../pos/10618_8.txt, Es: Positivo, Negative: 19, Positive: 8, Very negative: 1, Very positive: 0, Neutral: 5, Suma: -13
Archivo: ../pos/10619_8.txt, Es: Positivo, Negative: 2, Positive: 1, Very negative: 1, Very positive: 0, Neutral: 0, Suma: -3
Archivo: ../pos/1061_10.txt, Es: Positivo, Negative: 2, Positive: 3, Very negative: 0, Very positive: 0, Neutral: 0, Suma: 1
Archivo: ../pos/10620_10.txt, Es: Positivo, Negative: 2, Positive: 6, Very negative: 1, Very positive: 0, Neutral: 0, Suma: 2
Archivo: ../pos/10621_10.txt, Es: Positivo, Negative: 0, Positive: 0, Very negative: 0, Very positive: 3, Neutral: 0, Suma: 6
Archivo: ../pos/10622_10.txt, Es: Positivo, Negative: 1, Positive: 3, Very negative: 0, Very positive: 1, Neutral: 0, Suma: 4
Archivo: ../pos/10623_8.txt, Es: Positivo, Negative: 0, Positive: 2, Very negative: 1, Very positive: 0, Neutral: 2, Suma: 0
Archivo: ../pos/10624_7.txt, Es: Positivo, Negative: 7, Positive: 7, Very negative: 0, Very positive: 0, Neutral: 0, Suma: 0
Archivo: ../pos/10625_7.txt, Es: Positivo, Negative: 6, Positive: 10, Very negative: 0, Very positive: 0, Neutral: 5, Suma: 4
Archivo: ../pos/10626_7.txt, Es: Positivo, Negative: 4, Positive: 2, Very negative: 0, Very positive: 0, Neutral: 2, Suma: -2
Archivo: ../pos/10627_10.txt, Es: Positivo, Negative: 13, Positive: 4, Very negative: 1, Very positive: 0, Neutral: 3, Suma: -11
Archivo: ../pos/10628_7.txt, Es: Positivo, Negative: 0, Positive: 2, Very negative: 0, Very positive: 0, Neutral: 0, Suma: 2
Archivo: ../pos/10629_10.txt, Es: Positivo, Negative: 3, Positive: 3, Very negative: 0, Very positive: 0, Neutral: 0, Suma: 0
Archivo: ../pos/1062_10.txt, Es: Positivo, Negative: 1, Positive: 4, Very negative: 0, Very positive: 1, Neutral: 0, Suma: 5
Archivo: ../pos/10630_8.txt, Es: Positivo, Negative: 4, Positive: 1, Very negative: 0, Very positive: 2, Neutral: 1, Suma: 1
Archivo: ../pos/10631_8.txt, Es: Positivo, Negative: 5, Positive: 3, Very negative: 0, Very positive: 0, Neutral: 7, Suma: -2
Archivo: ../pos/10632_10.txt, Es: Positivo, Negative: 5, Positive: 3, Very negative: 0, Very positive: 3, Neutral: 7, Suma: 4
Archivo: ../pos/10633_9.txt, Es: Positivo, Negative: 2, Positive: 2, Very negative: 0, Very positive: 0, Neutral: 1, Suma: 0
Archivo: ../pos/10634_10.txt, Es: Positivo, Negative: 4, Positive: 4, Very negative: 0, Very positive: 1, Neutral: 1, Suma: 2
Archivo: ../pos/10635_8.txt, Es: Positivo, Negative: 3, Positive: 1, Very negative: 1, Very positive: 1, Neutral: 1, Suma: -2
Archivo: ../pos/10636_8.txt, Es: Positivo, Negative: 1, Positive: 4, Very negative: 0, Very positive: 1, Neutral: 0, Suma: 5
Archivo: ../pos/10637_10.txt, Es: Positivo, Negative: 1, Positive: 2, Very negative: 0, Very positive: 1, Neutral: 1, Suma: 3
Archivo: ../pos/10638_8.txt, Es: Positivo, Negative: 1, Positive: 2, Very negative: 0, Very positive: 1, Neutral: 0, Suma: 3
Archivo: ../pos/10639_7.txt, Es: Positivo, Negative: 21, Positive: 10, Very negative: 1, Very positive: 0, Neutral: 4, Suma: -13
Archivo: ../pos/1063_10.txt, Es: Positivo, Negative: 0, Positive: 1, Very negative: 0, Very positive: 3, Neutral: 0, Suma: 7
Archivo: ../pos/10640_8.txt, Es: Positivo, Negative: 4, Positive: 7, Very negative: 2, Very positive: 12, Neutral: 16, Suma: 23
Archivo: ../pos/10641_7.txt, Es: Positivo, Negative: 3, Positive: 2, Very negative: 0, Very positive: 0, Neutral: 0, Suma: -1
Archivo: ../pos/10642_8.txt, Es: Positivo, Negative: 7, Positive: 3, Very negative: 0, Very positive: 0, Neutral: 3, Suma: -4
Archivo: ../pos/10643_8.txt, Es: Positivo, Negative: 11, Positive: 2, Very negative: 1, Very positive: 0, Neutral: 1, Suma: -11
Archivo: ../pos/10644_8.txt, Es: Positivo, Negative: 7, Positive: 0, Very negative: 0, Very positive: 0, Neutral: 0, Suma: -7
Archivo: ../pos/10645_8.txt, Es: Positivo, Negative: 12, Positive: 0, Very negative: 0, Very positive: 0, Neutral: 4, Suma: -12
Archivo: ../pos/10646_8.txt, Es: Positivo, Negative: 7, Positive: 3, Very negative: 0, Very positive: 0, Neutral: 0, Suma: -4
Archivo: ../pos/10647_8.txt, Es: Positivo, Negative: 8, Positive: 4, Very negative: 0, Very positive: 0, Neutral: 2, Suma: -4
Archivo: ../pos/10648_8.txt, Es: Positivo, Negative: 2, Positive: 4, Very negative: 0, Very positive: 0, Neutral: 4, Suma: 2
Archivo: ../pos/10649_7.txt, Es: Positivo, Negative: 1, Positive: 0, Very negative: 0, Very positive: 0, Neutral: 1, Suma: -1
Archivo: ../pos/1064_10.txt, Es: Positivo, Negative: 4, Positive: 1, Very negative: 0, Very positive: 0, Neutral: 0, Suma: -3
Archivo: ../pos/10650_8.txt, Es: Positivo, Negative: 1, Positive: 0, Very negative: 0, Very positive: 2, Neutral: 1, Suma: 3
Archivo: ../pos/10651_7.txt, Es: Positivo, Negative: 5, Positive: 2, Very negative: 0, Very positive: 0, Neutral: 1, Suma: -3
Archivo: ../pos/10652_9.txt, Es: Positivo, Negative: 6, Positive: 2, Very negative: 0, Very positive: 1, Neutral: 1, Suma: -2
Archivo: ../pos/10653_10.txt, Es: Positivo, Negative: 4, Positive: 5, Very negative: 0, Very positive: 0, Neutral: 3, Suma: 1
Archivo: ../pos/10654_7.txt, Es: Positivo, Negative: 5, Positive: 6, Very negative: 0, Very positive: 1, Neutral: 0, Suma: 3
Archivo: ../pos/10655_9.txt, Es: Positivo, Negative: 2, Positive: 4, Very negative: 1, Very positive: 0, Neutral: 2, Suma: 0
Archivo: ../pos/10656_7.txt, Es: Positivo, Negative: 4, Positive: 4, Very negative: 0, Very positive: 0, Neutral: 0, Suma: 0
Archivo: ../pos/10657_8.txt, Es: Positivo, Negative: 3, Positive: 3, Very negative: 0, Very positive: 0, Neutral: 1, Suma: 0
Archivo: ../pos/10658_10.txt, Es: Positivo, Negative: 4, Positive: 2, Very negative: 0, Very positive: 0, Neutral: 2, Suma: -2
Archivo: ../pos/10659_8.txt, Es: Positivo, Negative: 3, Positive: 0, Very negative: 1, Very positive: 0, Neutral: 0, Suma: -5
Archivo: ../pos/1065_10.txt, Es: Positivo, Negative: 4, Positive: 1, Very negative: 0, Very positive: 1, Neutral: 0, Suma: -1
Archivo: ../pos/10660_10.txt, Es: Positivo, Negative: 4, Positive: 2, Very negative: 0, Very positive: 0, Neutral: 0, Suma: -2
Archivo: ../pos/10661_9.txt, Es: Positivo, Negative: 4, Positive: 9, Very negative: 0, Very positive: 1, Neutral: 1, Suma: 7
Archivo: ../pos/10662_7.txt, Es: Positivo, Negative: 9, Positive: 6, Very negative: 1, Very positive: 0, Neutral: 4, Suma: -5
Archivo: ../pos/10663_8.txt, Es: Positivo, Negative: 17, Positive: 6, Very negative: 0, Very positive: 2, Neutral: 3, Suma: -7
Archivo: ../pos/10664_8.txt, Es: Positivo, Negative: 5, Positive: 5, Very negative: 0, Very positive: 1, Neutral: 1, Suma: 2
Archivo: ../pos/10665_8.txt, Es: Positivo, Negative: 2, Positive: 5, Very negative: 0, Very positive: 0, Neutral: 0, Suma: 3
Archivo: ../pos/10666_8.txt, Es: Positivo, Negative: 12, Positive: 9, Very negative: 0, Very positive: 0, Neutral: 1, Suma: -3
Archivo: ../pos/10667_8.txt, Es: Positivo, Negative: 7, Positive: 6, Very negative: 0, Very positive: 0, Neutral: 3, Suma: -1
Archivo: ../pos/10668_7.txt, Es: Positivo, Negative: 6, Positive: 4, Very negative: 0, Very positive: 0, Neutral: 3, Suma: -2
Archivo: ../pos/10669_10.txt, Es: Positivo, Negative: 0, Positive: 0, Very negative: 0, Very positive: 1, Neutral: 0, Suma: 2
Archivo: ../pos/1066_10.txt, Es: Positivo, Negative: 1, Positive: 2, Very negative: 0, Very positive: 0, Neutral: 3, Suma: 1
Archivo: ../pos/10670_10.txt, Es: Positivo, Negative: 1, Positive: 1, Very negative: 0, Very positive: 1, Neutral: 0, Suma: 2
Archivo: ../pos/10671_10.txt, Es: Positivo, Negative: 2, Positive: 2, Very negative: 0, Very positive: 0, Neutral: 0, Suma: 0
Archivo: ../pos/10672_9.txt, Es: Positivo, Negative: 5, Positive: 11, Very negative: 0, Very positive: 0, Neutral: 0, Suma: 6
Archivo: ../pos/10673_10.txt, Es: Positivo, Negative: 1, Positive: 2, Very negative: 0, Very positive: 0, Neutral: 0, Suma: 1
Archivo: ../pos/10674_8.txt, Es: Positivo, Negative: 11, Positive: 9, Very negative: 0, Very positive: 1, Neutral: 1, Suma: 0
Archivo: ../pos/10675_8.txt, Es: Positivo, Negative: 4, Positive: 2, Very negative: 0, Very positive: 0, Neutral: 1, Suma: -2
Archivo: ../pos/10676_9.txt, Es: Positivo, Negative: 8, Positive: 4, Very negative: 0, Very positive: 1, Neutral: 1, Suma: -2
Archivo: ../pos/10677_8.txt, Es: Positivo, Negative: 14, Positive: 3, Very negative: 0, Very positive: 0, Neutral: 3, Suma: -11
Archivo: ../pos/10678_9.txt, Es: Positivo, Negative: 2, Positive: 5, Very negative: 0, Very positive: 1, Neutral: 1, Suma: 5
Archivo: ../pos/10679_10.txt, Es: Positivo, Negative: 7, Positive: 2, Very negative: 0, Very positive: 0, Neutral: 2, Suma: -5
Archivo: ../pos/1067_7.txt, Es: Positivo, Negative: 16, Positive: 4, Very negative: 2, Very positive: 1, Neutral: 2, Suma: -14
Archivo: ../pos/10680_8.txt, Es: Positivo, Negative: 2, Positive: 3, Very negative: 0, Very positive: 1, Neutral: 1, Suma: 3
Archivo: ../pos/10681_10.txt, Es: Positivo, Negative: 3, Positive: 4, Very negative: 0, Very positive: 0, Neutral: 1, Suma: 1
Archivo: ../pos/10682_10.txt, Es: Positivo, Negative: 22, Positive: 4, Very negative: 0, Very positive: 0, Neutral: 7, Suma: -18
Archivo: ../pos/10683_7.txt, Es: Positivo, Negative: 7, Positive: 4, Very negative: 0, Very positive: 2, Neutral: 3, Suma: 1
Archivo: ../pos/10684_9.txt, Es: Positivo, Negative: 3, Positive: 2, Very negative: 0, Very positive: 2, Neutral: 0, Suma: 3
Archivo: ../pos/10685_7.txt, Es: Positivo, Negative: 3, Positive: 4, Very negative: 0, Very positive: 1, Neutral: 0, Suma: 3
Archivo: ../pos/10686_8.txt, Es: Positivo, Negative: 3, Positive: 2, Very negative: 0, Very positive: 0, Neutral: 0, Suma: -1
Archivo: ../pos/10687_10.txt, Es: Positivo, Negative: 2, Positive: 1, Very negative: 1, Very positive: 1, Neutral: 2, Suma: -1
Archivo: ../pos/10688_9.txt, Es: Positivo, Negative: 1, Positive: 5, Very negative: 0, Very positive: 1, Neutral: 2, Suma: 6
Archivo: ../pos/10689_8.txt, Es: Positivo, Negative: 1, Positive: 3, Very negative: 0, Very positive: 0, Neutral: 2, Suma: 2
Archivo: ../pos/1068_10.txt, Es: Positivo, Negative: 6, Positive: 2, Very negative: 0, Very positive: 2, Neutral: 1, Suma: 0
Archivo: ../pos/10690_10.txt, Es: Positivo, Negative: 1, Positive: 2, Very negative: 0, Very positive: 0, Neutral: 1, Suma: 1
Archivo: ../pos/10691_7.txt, Es: Positivo, Negative: 2, Positive: 4, Very negative: 0, Very positive: 0, Neutral: 3, Suma: 2
Archivo: ../pos/10692_8.txt, Es: Positivo, Negative: 5, Positive: 1, Very negative: 0, Very positive: 4, Neutral: 2, Suma: 4
Archivo: ../pos/10693_8.txt, Es: Positivo, Negative: 1, Positive: 4, Very negative: 0, Very positive: 15, Neutral: 15, Suma: 33
Archivo: ../pos/10694_7.txt, Es: Positivo, Negative: 13, Positive: 5, Very negative: 1, Very positive: 0, Neutral: 4, Suma: -10
Archivo: ../pos/10695_8.txt, Es: Positivo, Negative: 0, Positive: 3, Very negative: 0, Very positive: 1, Neutral: 0, Suma: 5
Archivo: ../pos/10696_7.txt, Es: Positivo, Negative: 2, Positive: 6, Very negative: 0, Very positive: 0, Neutral: 1, Suma: 4
Archivo: ../pos/10697_8.txt, Es: Positivo, Negative: 2, Positive: 8, Very negative: 0, Very positive: 0, Neutral: 1, Suma: 6
Archivo: ../pos/10698_9.txt, Es: Positivo, Negative: 8, Positive: 5, Very negative: 0, Very positive: 0, Neutral: 2, Suma: -3
Archivo: ../pos/10699_9.txt, Es: Positivo, Negative: 9, Positive: 7, Very negative: 0, Very positive: 2, Neutral: 1, Suma: 2
Archivo: ../pos/1069_10.txt, Es: Positivo, Negative: 3, Positive: 5, Very negative: 0, Very positive: 0, Neutral: 0, Suma: 2
Archivo: ../pos/106_10.txt, Es: Positivo, Negative: 6, Positive: 3, Very negative: 0, Very positive: 0, Neutral: 3, Suma: -3
Archivo: ../pos/10700_8.txt, Es: Positivo, Negative: 1, Positive: 4, Very negative: 0, Very positive: 1, Neutral: 0, Suma: 5
Archivo: ../pos/10701_10.txt, Es: Positivo, Negative: 4, Positive: 1, Very negative: 0, Very positive: 2, Neutral: 1, Suma: 1
Archivo: ../pos/10702_10.txt, Es: Positivo, Negative: 5, Positive: 4, Very negative: 0, Very positive: 1, Neutral: 1, Suma: 1
Archivo: ../pos/10703_7.txt, Es: Positivo, Negative: 0, Positive: 4, Very negative: 0, Very positive: 0, Neutral: 0, Suma: 4
Archivo: ../pos/10704_10.txt, Es: Positivo, Negative: 9, Positive: 6, Very negative: 0, Very positive: 2, Neutral: 3, Suma: 1
Archivo: ../pos/10705_7.txt, Es: Positivo, Negative: 2, Positive: 2, Very negative: 0, Very positive: 0, Neutral: 2, Suma: 0
Archivo: ../pos/10706_7.txt, Es: Positivo, Negative: 1, Positive: 5, Very negative: 0, Very positive: 0, Neutral: 0, Suma: 4
Archivo: ../pos/10707_8.txt, Es: Positivo, Negative: 1, Positive: 3, Very negative: 0, Very positive: 3, Neutral: 1, Suma: 8
Archivo: ../pos/10708_8.txt, Es: Positivo, Negative: 5, Positive: 3, Very negative: 0, Very positive: 0, Neutral: 7, Suma: -2
Archivo: ../pos/10709_10.txt, Es: Positivo, Negative: 8, Positive: 4, Very negative: 0, Very positive: 1, Neutral: 3, Suma: -2
Archivo: ../pos/1070_8.txt, Es: Positivo, Negative: 2, Positive: 2, Very negative: 0, Very positive: 0, Neutral: 0, Suma: 0
Archivo: ../pos/10710_9.txt, Es: Positivo, Negative: 6, Positive: 1, Very negative: 0, Very positive: 4, Neutral: 1, Suma: 3
Archivo: ../pos/10711_10.txt, Es: Positivo, Negative: 6, Positive: 10, Very negative: 1, Very positive: 5, Neutral: 9, Suma: 12
Archivo: ../pos/10712_8.txt, Es: Positivo, Negative: 3, Positive: 4, Very negative: 0, Very positive: 0, Neutral: 1, Suma: 1
Archivo: ../pos/10713_9.txt, Es: Positivo, Negative: 3, Positive: 4, Very negative: 0, Very positive: 1, Neutral: 1, Suma: 3
Archivo: ../pos/10714_8.txt, Es: Positivo, Negative: 16, Positive: 15, Very negative: 0, Very positive: 2, Neutral: 15, Suma: 3
Archivo: ../pos/10715_8.txt, Es: Positivo, Negative: 4, Positive: 5, Very negative: 0, Very positive: 0, Neutral: 1, Suma: 1
Archivo: ../pos/10716_7.txt, Es: Positivo, Negative: 5, Positive: 3, Very negative: 0, Very positive: 1, Neutral: 3, Suma: 0
Archivo: ../pos/10717_10.txt, Es: Positivo, Negative: 6, Positive: 3, Very negative: 0, Very positive: 1, Neutral: 0, Suma: -1
Archivo: ../pos/10718_10.txt, Es: Positivo, Negative: 5, Positive: 3, Very negative: 0, Very positive: 2, Neutral: 0, Suma: 2
Archivo: ../pos/10719_10.txt, Es: Positivo, Negative: 16, Positive: 1, Very negative: 0, Very positive: 0, Neutral: 3, Suma: -15
Archivo: ../pos/1071_8.txt, Es: Positivo, Negative: 7, Positive: 1, Very negative: 0, Very positive: 0, Neutral: 3, Suma: -6
Archivo: ../pos/10720_9.txt, Es: Positivo, Negative: 3, Positive: 2, Very negative: 0, Very positive: 0, Neutral: 1, Suma: -1
Archivo: ../pos/10721_9.txt, Es: Positivo, Negative: 1, Positive: 2, Very negative: 0, Very positive: 1, Neutral: 2, Suma: 3
Archivo: ../pos/10722_10.txt, Es: Positivo, Negative: 1, Positive: 5, Very negative: 0, Very positive: 0, Neutral: 0, Suma: 4
Archivo: ../pos/10723_8.txt, Es: Positivo, Negative: 4, Positive: 3, Very negative: 1, Very positive: 2, Neutral: 2, Suma: 1
Archivo: ../pos/10724_8.txt, Es: Positivo, Negative: 6, Positive: 6, Very negative: 0, Very positive: 2, Neutral: 2, Suma: 4
Archivo: ../pos/10725_9.txt, Es: Positivo, Negative: 2, Positive: 4, Very negative: 0, Very positive: 0, Neutral: 1, Suma: 2
Archivo: ../pos/10726_7.txt, Es: Positivo, Negative: 2, Positive: 4, Very negative: 0, Very positive: 0, Neutral: 2, Suma: 2
Archivo: ../pos/10727_7.txt, Es: Positivo, Negative: 4, Positive: 5, Very negative: 0, Very positive: 2, Neutral: 0, Suma: 5
Archivo: ../pos/10728_10.txt, Es: Positivo, Negative: 5, Positive: 3, Very negative: 0, Very positive: 1, Neutral: 1, Suma: 0
Archivo: ../pos/10729_8.txt, Es: Positivo, Negative: 7, Positive: 4, Very negative: 0, Very positive: 0, Neutral: 1, Suma: -3
Archivo: ../pos/1072_10.txt, Es: Positivo, Negative: 5, Positive: 0, Very negative: 0, Very positive: 0, Neutral: 2, Suma: -5
Archivo: ../pos/10730_10.txt, Es: Positivo, Negative: 7, Positive: 7, Very negative: 0, Very positive: 0, Neutral: 6, Suma: 0
Archivo: ../pos/10731_7.txt, Es: Positivo, Negative: 5, Positive: 1, Very negative: 0, Very positive: 0, Neutral: 0, Suma: -4
Archivo: ../pos/10732_8.txt, Es: Positivo, Negative: 5, Positive: 1, Very negative: 0, Very positive: 0, Neutral: 0, Suma: -4
